,id,rated,variant,speed,createdAt,lastMoveAt,status,winner,moves,clock,movesperplayer,white_player_name,white_ranking,black_player_name,black_ranking
0,O83cQxfo,True,standard,blitz,2023-06-28 02:33:43.673000+02:00,2023-06-28 02:44:00.722000+02:00,outoftime,white,e4 e5 Nf3 Nc6 Bc4 Nf6 d4 exd4 e5 d5 exd6 Qxd6 O-O Be7 Na3 Bg4 Nb5 Qd7 Nbxd4 Ne5 Nxe5 Bxd1 Nxd7 Nxd7 Rxd1 Ne5 Bd5 Rd8 Bxb7 c5 Bf4 Ng6 Ne2 Nxf4 Bc6+ Kf8 Rxd8+ Bxd8 Nxf4 g5 Nh5 Ke7 Re1+ Kd6 Bb5 Be7 Ng3 Bf6 Ne4+ Ke5 Nxg5+ Kf5 Nxf7 Rb8 Bd3+ Kg4 Re4+ Kh5 g4+ Kg6 Ne5+ Kg7 Nd7 Rxb2 Nxf6 Kxf6 Ra4 Kg5 h3 h5 gxh5 Kxh5 Rxa7 Kh4 Kg2 c4 Ra4 Kg5 Rxc4 Rxa2 Rc5+ Kf6 Kg3 Ra7 Kf4 Ra8 h4 Rh8 Rc6+ Ke7 Kg5 Rg8+ Rg6 Rf8 f4 Rd8 f5 Kf7 f6 Rd5+ Kh6 Rd4 Rg7+ Kxf6 Rg6+ Kf7 Kh5 Rd5+ Rg5 Rd6 c4 Kf6 Rg6+ Ke5 Rxd6 Kxd6 Kg6 Ke5 h5 Kd4 h6 Kxd3 h7 Kxc4 h8=Q Kc5 Qf8+ Kd5 Qe8 Kd6 Kf7 Kc5 Kf6 Kd5 Kf5 Kd6 Ke4 Kc5 Qg6 Kc4 Qe6+,300,70,EvilSaintPL,1753,Leosammie,1735
1,KeBcqcHz,True,standard,blitz,2023-06-28 02:31:45.081000+02:00,2023-06-28 02:33:30.178000+02:00,resign,white,Nf3 Nc6 g3 e5 Bg2 e4 Ng1 d5 d3 f5 dxe4 fxe4 Nc3 Nf6 Bg5 Be7 Bxf6 Bxf6 Qxd5 Qxd5 Nxd5 Be5 f4 exf3 Nxf3 Be6 Nxe5 Bxd5 Bxd5 O-O-O Nxc6 bxc6 Bf3 Rhf8 O-O Rd2 Bg4+,300,18,convict-19,1801,EvilSaintPL,1758
2,hDXG2PXc,True,standard,blitz,2023-06-26 00:04:39.921000+02:00,2023-06-26 00:07:33.812000+02:00,resign,white,e4 e5 Nc3 Nf6 Nf3 Nc6 d4 exd4 Nxd4 Nxd4 Qxd4 Qe7 Bg5 h6 Bh4 c5 Qe3 d5 Bb5+ Bd7 Bxd7+ Kxd7 Qh3+ Ke8 O-O-O d4 Nd5 Qd6 Bg3 Qa6 Nc7+,300,15,Gabaz,1790,EvilSaintPL,1764
3,W45quoHn,True,standard,blitz,2023-06-26 00:03:49.331000+02:00,2023-06-26 00:04:36.328000+02:00,resign,black,e4 g6 d4 Bg7 Nf3 d6 Bf4 Bd7 Bd3 a6 O-O b5 c3 Nf6 e5 Nh5 Qd2 Nxf4 Qxf4 O-O exd6 cxd6 Re1 Nc6 Qg4 Bxg4,300,12,EvilSaintPL,1771,Harrybrave,1738
4,9L3EOwxU,True,standard,blitz,2023-06-26 00:00:44.085000+02:00,2023-06-26 00:03:44.461000+02:00,resign,white,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Bc5 Nxc6 bxc6 Bc4 Ne7 O-O O-O b3 d5 exd5 cxd5 Bd3 c6 Bb2 Bf5 Nc3 Qc7 Qh5 Bxd3 cxd3 Bd4 Nxd5 cxd5 Bxd4 Qd6 Qg4 Ng6 Rac1 Rfe8 Rc5 Re2 Qxe2,300,19,Hakim040,1760,EvilSaintPL,1778
5,H0YSCwZ7,True,standard,blitz,2023-06-16 02:11:46.517000+02:00,2023-06-16 02:18:46.356000+02:00,mate,white,e4 e5 Nf3 Nc6 Bc4 Bc5 c3 Nf6 d4 exd4 cxd4 Bb4+ Bd2 Bxd2+ Nbxd2 O-O e5 Ne8 O-O d6 d5 Nxe5 Nxe5 dxe5 Re1 Nf6 Rxe5 Qd6 Qe2 Bg4 f3 Bh5 Re1 Bg6 Qf2 a6 Qg3 c6 dxc6 Qxd2 cxb7 Rab8 Re7 Qd4+ Kh1 Qxc4 Rc7 Qb4 Ree7 Nd5 Rc8 Nxe7 Rxb8 Nc6 Rxf8+ Kxf8 a3 Qxb7 Qd6+ Ne7 Qd8#,300,30,EvilSaintPL,1771,bureksamesom,1793
6,N1DA9esQ,True,standard,blitz,2023-06-16 02:02:24.899000+02:00,2023-06-16 02:11:38.426000+02:00,resign,black,e4 e5 Nf3 Nc6 Bc4 d6 c3 Be7 d4 Bg4 d5 Na5 Bb5+ c6 dxc6 Nxc6 h3 Bh5 Qd5 Nf6 Bxc6+ Kf8 Qd3 bxc6 O-O Bg6 Re1 Qb6 Na3 Rb8 Nc4 Qc7 Be3 h6 b4 Kg8 a4 Bxe4 Qd2 Bxf3 gxf3 Kh7 Kh2 g6 Rg1 h5 Bg5 d5 Bxf6 Bxf6 Ne3 e4+ Kh1 exf3 Qd3 Rhe8 Nf5 Qf4 Ne3 Rbd8 Rg3 d4 cxd4 Rxd4 Qc2 Red8 Rag1 Rd2 Qb1 Rxf2 Qb3 Bh4 Qa2 Bxg3 Rxg3 Rxa2,300,37,EvilSaintPL,1778,KancerberoMDQ,1747
7,Rfkb0XI6,True,standard,blitz,2023-06-11 02:14:11.027000+02:00,2023-06-11 02:16:56.850000+02:00,mate,white,e4 e5 Nf3 d6 Bc4 h6 d4 exd4 Nxd4 c5 Qh5 Qf6 Nf3 Nc6 O-O Be6 Bb5 a6 Bxc6+ bxc6 Re1 Be7 e5 Qg6 Qxg6 fxg6 exd6 Bxd6 Rxe6+ Kd7 Rxg6 Ne7 Rxg7 Raf8 Be3 Ke6 Nc3 Nf5 Ra7 Nxe3 fxe3 Rhg8 Kf2 Bxh2 Rxa6 Bg3+ Kf1 Rc8 Ne4 Be5 Nxc5+ Kd5 Nd3 Bg3 Ra5+ Kc4 Rc5#,300,28,EvilSaintPL,1772,edwinorlando11,1766
8,F2C4Mm1C,True,standard,blitz,2023-06-11 02:11:42.973000+02:00,2023-06-11 02:14:01.606000+02:00,resign,white,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Bc5 Nxc6 bxc6 Bd3 Ne7 Bg5 O-O Nc3 h6 Bh4 Qe8 O-O Ng6 Bg3 d6 Na4 Bb6 Nxb6 cxb6 Re1 Qd7 Bc4 Re8 Qxd6 Qxd6 Bxd6 c5 Bd5 Rd8 Bxa8 Rxd6 Rad1 Re6 Rd8+,300,20,kasper023,1860,EvilSaintPL,1777
9,c5nqt4zq,True,standard,blitz,2023-06-11 02:02:10.147000+02:00,2023-06-11 02:11:27.197000+02:00,resign,black,d4 d5 Nf3 Nf6 e3 Bg4 h3 Bxf3 Qxf3 Nc6 Bb5 a6 Bxc6+ bxc6 Nd2 Rb8 O-O e6 Qe2 Qc8 Nf3 Bd6 c4 dxc4 Qxc4 Qb7 Qc2 O-O Ng5 Qb5 e4 h6 e5 hxg5 exf6 gxf6 Qe4 Kg7 Be3 Rh8 Rfc1 Qd5 Qd3 Rh4 b3 Rbh8 Qc4 Rxh3 gxh3 Qf3 Qf1 Rxh3 Qg2 Qh5 Rxc6 Rh2 Qe4 f5 Qg2 Rxg2+ Kxg2 Qg4+ Kf1 Qh3+ Ke2 Qg4+ Kd2 Qe4 Rc3 Bb4 Rc1 Bxc3+ Rxc3 Qb1 Bxg5 Qxa2+ Rc2 Qxb3 Rc3 Qb2+ Kd3 Qxf2 Be3 Qf1+ Kd2 f4 Rxc7 fxe3+ Kxe3 Qe1+ Kd3 Qd1+ Ke3 a5 Rc5 a4 Rg5+ Kf6 Rg2 Qb3+ Ke4 Qd5+ Kf4 Qxg2,300,51,elaprendizdeljaque,1735,EvilSaintPL,1771
