,id,rated,speed,createdAt,lastMoveAt,winner,clock,movesperplayer,white_player_name,white_ranking,black_player_name,black_ranking,Gametime,timepermove,white_kingcastle,white_queencastle,black_kingcastle,black_queencastle,White_moves_before_castle,Black_moves_before_castle,opens1,my_rank,i_won,enemy_rank,rank_difference,is_higher
0,O83cQxfo,True,blitz,2023-06-28 02:33:43.673000+02:00,2023-06-28 02:44:00.722000+02:00,white,300,70,EvilSaintPL,1753,Leosammie,1735,617.0,8.8,1,0,0,0,6,71,White e4 e5 Nf3 Nc6,1753,1,1735,18,True
1,KeBcqcHz,True,blitz,2023-06-28 02:31:45.081000+02:00,2023-06-28 02:33:30.178000+02:00,white,300,18,convict-19,1801,EvilSaintPL,1758,105.1,5.8,1,0,0,1,17,14,no opens,1758,-1,1801,-43,False
2,hDXG2PXc,True,blitz,2023-06-26 00:04:39.921000+02:00,2023-06-26 00:07:33.812000+02:00,white,300,15,Gabaz,1790,EvilSaintPL,1764,173.9,11.6,0,1,0,0,12,16,Black e4 e5 Nc3 Nf6,1764,-1,1790,-26,False
3,W45quoHn,True,blitz,2023-06-26 00:03:49.331000+02:00,2023-06-26 00:04:36.328000+02:00,black,300,12,EvilSaintPL,1771,Harrybrave,1738,47.0,3.9,1,0,1,0,5,9,White e4 g6 d4 Bg7,1771,-1,1738,33,True
4,9L3EOwxU,True,blitz,2023-06-26 00:00:44.085000+02:00,2023-06-26 00:03:44.461000+02:00,white,300,19,Hakim040,1760,EvilSaintPL,1778,180.4,9.5,1,0,1,0,6,6,Black e4 e5 Nf3 Nc6,1778,-1,1760,18,True
5,H0YSCwZ7,True,blitz,2023-06-16 02:11:46.517000+02:00,2023-06-16 02:18:46.356000+02:00,white,300,30,EvilSaintPL,1771,bureksamesom,1793,419.8,14.0,1,0,1,0,9,7,White e4 e5 Nf3 Nc6,1771,1,1793,-22,False
6,N1DA9esQ,True,blitz,2023-06-16 02:02:24.899000+02:00,2023-06-16 02:11:38.426000+02:00,black,300,37,EvilSaintPL,1778,KancerberoMDQ,1747,553.5,15.0,1,0,0,0,12,39,White e4 e5 Nf3 Nc6,1778,-1,1747,31,True
7,Rfkb0XI6,True,blitz,2023-06-11 02:14:11.027000+02:00,2023-06-11 02:16:56.850000+02:00,white,300,28,EvilSaintPL,1772,edwinorlando11,1766,165.8,5.9,1,0,0,0,7,29,White e4 e5 Nf3 d6,1772,1,1766,6,True
8,F2C4Mm1C,True,blitz,2023-06-11 02:11:42.973000+02:00,2023-06-11 02:14:01.606000+02:00,white,300,20,kasper023,1860,EvilSaintPL,1777,138.6,6.9,1,0,1,0,9,6,Black e4 e5 Nf3 Nc6,1777,-1,1860,-83,False
9,c5nqt4zq,True,blitz,2023-06-11 02:02:10.147000+02:00,2023-06-11 02:11:27.197000+02:00,black,300,51,elaprendizdeljaque,1735,EvilSaintPL,1771,557.0,10.9,1,0,1,0,8,13,no opens,1771,1,1735,36,True
10,yDvYTfB6,True,blitz,2023-06-11 01:53:11.541000+02:00,2023-06-11 02:01:24.299000+02:00,black,300,32,juvydina,1718,EvilSaintPL,1767,492.8,15.4,1,0,1,0,6,6,Black e4 e5 Nf3 Nc6,1767,1,1718,49,True
11,6tAOifYq,True,blitz,2023-06-11 01:51:37.748000+02:00,2023-06-11 01:52:59.734000+02:00,black,300,9,EvilSaintPL,1773,sammie_chika,1726,82.0,9.1,0,0,0,0,11,11,White e4 c6 d4 d5,1773,-1,1726,47,True
12,9hVMNcVe,True,blitz,2023-06-11 01:47:37.756000+02:00,2023-06-11 01:50:44.879000+02:00,white,300,19,EvilSaintPL,1768,Zulpijaytanah,1725,187.1,9.8,1,0,1,0,13,10,White e4 c6 d4 d5,1768,1,1725,43,True
13,VQ8Gu3DP,True,blitz,2023-06-11 01:41:24.160000+02:00,2023-06-11 01:47:35.198000+02:00,black,300,58,EvilSaintPL,1774,Spideman87,1771,371.0,6.4,1,0,1,0,9,5,White e4 e6 d4 d5,1774,-1,1771,3,True
14,Ez43SfyZ,True,blitz,2023-06-07 02:51:15.240000+02:00,2023-06-07 02:56:19.584000+02:00,black,300,30,ValJor,1748,EvilSaintPL,1768,304.3,10.1,1,0,1,0,10,9,Black d4 d5 c4 c6,1768,1,1748,20,True
15,gLAlZFFx,True,blitz,2023-06-07 02:46:30.660000+02:00,2023-06-07 02:50:20.872000+02:00,black,300,27,da7om1416,1756,EvilSaintPL,1763,230.2,8.5,1,0,0,0,8,29,Black d4 d5 c4 c6,1763,1,1756,7,True
16,5uWQhBiF,True,blitz,2023-06-07 02:35:57.646000+02:00,2023-06-07 02:46:22.157000+02:00,black,300,91,EvilSaintPL,1768,sebaagv,1804,624.5,6.9,1,0,1,0,10,5,White e4 e6 d4 d5,1768,-1,1804,-36,False
17,uxE9ud30,True,blitz,2023-06-01 18:22:19.034000+02:00,2023-06-01 18:26:26.523000+02:00,black,300,30,zajc1,1750,EvilSaintPL,1763,247.5,8.2,0,0,1,0,32,14,no opens,1763,1,1750,13,True
18,DRiFLKVy,True,blitz,2023-06-01 18:07:38.533000+02:00,2023-06-01 18:17:22.238000+02:00,white,300,69,lc1408,1759,EvilSaintPL,1768,583.7,8.5,0,0,1,0,71,10,Black c4 e5 Nc3 Nf6,1768,-1,1759,9,True
19,nSkSOyKk,True,blitz,2023-06-01 16:44:58.061000+02:00,2023-06-01 16:50:56.745000+02:00,white,300,30,EvilSaintPL,1763,Oncedead,1742,358.7,12.0,1,0,1,0,11,8,White e4 e5 Nf3 Nc6,1763,1,1742,21,True
20,ypRGupyw,True,blitz,2023-06-01 03:37:21.296000+02:00,2023-06-01 03:47:18.336000+02:00,black,300,36,Jorjao,1687,EvilSaintPL,1758,597.0,16.6,1,0,1,0,7,22,no opens,1758,1,1687,71,True
21,xc0m55P3,True,blitz,2023-06-01 03:28:56.495000+02:00,2023-06-01 03:37:12.280000+02:00,black,300,51,EvilSaintPL,1765,Jorjao,1680,495.8,9.7,1,0,0,1,8,8,White e4 d5 exd5 Nf6,1765,-1,1680,85,True
22,lIgy8EIe,True,blitz,2023-06-01 03:25:26.735000+02:00,2023-06-01 03:28:48.050000+02:00,draw,300,22,Jorjao,1679,EvilSaintPL,1767,201.3,9.2,1,0,1,0,5,5,no opens,1767,0,1679,88,True
23,0DhQe32Q,True,blitz,2023-06-01 02:14:39.221000+02:00,2023-06-01 02:22:14.736000+02:00,black,300,41,EvilSaintPL,1773,mihaipaulx,1751,455.5,11.1,1,0,0,1,12,14,no opens,1773,-1,1751,22,True
